Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Comment
375,SR7UVV,439.487500,-,7.600000,,88.5,88.5,DV,12.5,Góra Kamieńsk wieża EmiTel
376,SR7UWI,438.525000,-,7.600000,,88.5,88.5,DV,12.5,Czastary
377,SR7V,145.625000,-,0.600000,Tone,88.5,88.5,FM,12.5,RTCN Święty Krzyż EmiTel - Łysa Góra/Nowa Słupia
378,SR7VV,439.112500,-,7.600000,Tone,77.0,77.0,FM,12.5,Góra Kamieńsk wieża EmiTel
379,SR7W,145.700000,-,0.600000,,88.5,77.0,FM,12.5,Wieluń
380,SR7WI,439.000000,-,7.600000,,88.5,88.5,FM,12.5,Działoszyn
381,SR7Z,145.600000,-,0.600000,Tone,77.0,88.5,FM,12.5,Łódź
382,SR7ZD,438.900000,-,7.600000,Tone,77.0,88.5,FM,12.5,Zduńska Wola
383,SR7ZG,438.950000,split,431.350000,Tone,77.0,77.0,FM,12.5,Zgierz
384,SR8AGA,439.350000,-,7.600000,Tone,103.5,88.5,FM,12.5,Domaradz
385,SR8AR,29.690000,-,0.100000,Tone,127.3,127.3,FM,12.5,Krosno
386,SR8AR,29.590000,split,29.690000,Tone,127.3,127.3,FM,12.5,Krosno
387,SR8AVB,439.012500,-,7.600000,,88.5,88.5,DV,12.5,Biała Podlaska
388,SR8B,145.787500,-,0.600000,Tone,71.9,71.9,FM,12.5,Leżajsk
389,SR8BB,438.875000,-,7.600000,Tone,103.5,103.5,FM,12.5,Bereżnica Wyżna
390,SR8BD,438.875000,-,7.600000,Tone,103.5,103.5,FM,12.5,Biała Podlaska Pec
391,SR8BI,438.900000,-,7.600000,,88.5,88.5,FM,12.5,Baligród
392,SR8BP,438.650000,-,7.600000,Tone,79.7,79.7,FM,12.5,Chotycze / Łosice
393,SR8CH,438.675000,-,7.600000,Tone,77.0,77.0,FM,12.5,Chełm
394,SR8D,145.650000,-,0.600000,Tone,79.7,79.7,FM,12.5,Chotycze / Łosice
395,SR8DE,439.300000,-,7.600000,Tone,103.5,88.5,FM,12.5,Dębica
396,SR8DEF,438.425000,-,7.600000,Tone,103.5,88.5,FM,12.5,Dębica
401,SR8DU,439.000000,-,7.600000,Tone,71.9,71.9,FM,12.5,Drohobyczka-Dubiecko
404,SR8ET,439.200000,-,7.600000,Tone,71.9,71.9,FM,12.5,Sanok - Urząd Miasta
406,SR8J,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Jarosław
407,SR8JR,439.250000,-,7.600000,Tone,67.0,67.0,FM,12.5,Jarosław
408,SR8JS,438.800000,-,7.600000,,88.5,103.5,FM,12.5,Jasło - Góra Liwocz
409,SR8K,145.600000,-,0.600000,Tone,71.9,71.9,FM,12.5,Drohobyczka-Dubiecko
410,SR8KP,439.575000,-,7.600000,Tone,71.9,71.9,FM,12.5,Leżajsk-Giedlarowa
411,SR8KR,438.625000,-,7.600000,Tone,103.5,103.5,FM,12.5,RTCN Sucha Góra/Krosno EmiTel-Czarnorzeki 90
412,SR8KSR,438.925000,-,7.600000,Tone,103.5,103.5,FM,12.5,Krosno
413,SR8L,145.675000,-,0.600000,Tone,67.0,67.0,FM,12.5,RTCN Lublin / Boży Dar (Emitel)
414,SR8L6M,51.810000,-,0.600000,Tone,67.0,67.0,FM,12.5,Lublin
415,SR8LBD,438.575000,-,7.600000,Tone,77.0,77.0,FM,12.5,RTCN Lublin / Boży Dar (Emitel)
416,SR8LBL,29.670000,-,0.100000,Tone,71.9,88.5,FM,12.5,Giedlarowa
417,SR8LKR,438.550000,-,7.600000,Tone,67.0,67.0,FM,12.5,Kraśnik
418,SR8LL,1298.700000,-,28.000000,,88.5,88.5,FM,12.5,Lublin
419,SR8LLB,439.250000,-,7.600000,Tone,77.0,77.0,FM,12.5,Lubartów
420,SR8LSW,439.025000,-,7.600000,Tone,110.9,110.9,FM,12.5,Świdnik
421,SR8LU,439.050000,-,7.600000,Tone,67.0,67.0,FM,12.5,Lublin
423,SR8LW,438.700000,-,7.600000,Tone,67.0,67.0,FM,12.5,Łuków (Zbożowa 2)
424,SR8LWB,439.137500,-,7.600000,Tone,67.0,67.0,FM,12.5,Bogdanka
425,SR8MBR,50.540000,split,432.600000,Tone,71.9,71.9,FM,12.5,Tyczyn, Lasek
426,SR8NP,145.762500,-,0.600000,,88.5,186.2,FM,12.5,Przemyśl
427,SR8PL,439.087500,-,7.600000,Tone,118.8,118.8,FM,12.5,Kazimierz Dolny
428,SR8PPN,438.900000,-,7.600000,Tone,67.0,67.0,FM,12.5,gm. Urszulin
429,SR8PU,438.850000,-,7.600000,Tone,118.8,118.8,FM,12.5,Kazimierz Dolny
430,SR8R,145.675000,-,0.600000,Tone,71.9,88.5,FM,12.5,Rzeszów
432,SR8RJS,438.500000,-,7.600000,Tone,103.5,103.5,FM,12.5,Opacie
433,SR8RSC,145.287500,+,0.000000,Tone,71.9,71.9,FM,12.5,Boguchwała
434,SR8RZ,439.250000,-,7.600000,Tone,71.9,71.9,FM,12.5,Rzeszów
435,SR8S,145.712500,-,0.600000,Tone,123.0,123.0,FM,12.5,Świdnik
436,SR8SD,439.325000,-,7.600000,Tone,123.0,123.0,FM,12.5,Świdnik
437,SR8SM,438.650000,-,7.600000,Tone,123.0,123.0,FM,12.5,Dębica
438,SR8T,145.725000,-,0.600000,Tone,103.5,103.5,FM,12.5,RTCN Sucha Góra/Krosno EmiTel-Czarnorzeki 90
439,SR8TA,438.950000,-,7.600000,Tone,103.5,103.5,FM,12.5,RTCN Sucha Góra/Krosno EmiTel-Czarnorzeki 90
440,SR8TPM,145.337500,+,0.000000,Tone,71.9,71.9,FM,12.5,
441,SR8TR,29.690000,-,0.100000,,88.5,88.5,FM,12.5,Leżajsk Cmentarna CNR
442,SR8U,145.687500,-,0.600000,,88.5,88.5,FM,12.5,Baligród
443,SR8UKS,439.112500,-,7.600000,,88.5,88.5,DV,12.5,RTCN Sucha Góra/Krosno EmiTel-Czarnorzeki 90
444,SR8UVB,439.412500,-,7.600000,,88.5,88.5,DV,12.5,Chotycze - RTCN Łosice
445,SR8UVC,439.550000,-,7.600000,,88.5,88.5,DV,12.5,Biała Podlaska
446,SR8UVL,438.825000,-,7.600000,,88.5,88.5,DV,12.5,Lublin
447,SR8UVP,439.462500,-,7.600000,,88.5,88.5,DV,12.5,Kazimierz Dolny
448,SR8UVS,438.325000,-,7.600000,,88.5,88.5,DV,12.5,Świdnik
449,SR8UWD,438.512500,-,7.600000,,88.5,88.5,DV,12.5,Włodawa
450,SR8V,145.612500,-,0.600000,Tone,103.5,88.5,FM,12.5,Jasło
451,SR8WD,438.975000,-,7.600000,Tone,103.5,103.5,FM,12.5,Włodawa
452,SR8X,145.700000,-,0.600000,Tone,118.8,118.8,FM,12.5,Puławy
453,SR8Z,145.750000,-,0.600000,Tone,77.0,77.0,FM,12.5,Feliksówka k/Zamościa
454,SR8ZA,439.275000,-,7.600000,Tone,77.0,77.0,FM,12.5,Feliksówka k/Zamościa
455,SR9A,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Góra Wał - Tarnów
456,SR9ABC,51.990000,-,0.600000,,88.5,88.5,FM,12.5,Szczawnica - Góra Przehyba (Teren schroniska)
457,SR9AD,438.625000,-,7.600000,,88.5,88.5,FM,12.5,Kraków?
459,SR9AE,438.825000,-,7.600000,Tone,103.5,103.5,FM,12.5,Obserwatorium astronomiczne na Górze Lubomir
460,SR9AMS,145.237500,+,0.000000,,88.5,107.2,FM,12.5,(zmiana lokalizacji)
461,SR9ASR,438.300000,-,7.600000,Tone,74.4,74.4,FM,12.5,Góra Żar
462,SR9B,145.712500,-,0.600000,Tone,67.0,88.5,FM,12.5,Skrzyczne
464,SR9BSR,438.250000,-,7.600000,Tone,74.4,88.5,FM,12.5,Góra Szyndzielnia
465,SR9C,145.600000,-,0.600000,Tone,103.5,103.5,FM,12.5,Kraków
467,SR9CZ,439.175000,-,7.600000,,88.5,88.5,DV,12.5,Częstochowa
469,SR9CZE,439.562500,-,7.600000,Tone,67.0,67.0,FM,12.5,Częstochowa
480,SR9DV,438.325000,-,7.600000,Tone,67.0,88.5,FM,12.5,Węgrzce
481,SR9DX,145.575000,-,0.600000,Tone,71.9,71.9,FM,12.5,Bytom
483,SR9E,145.725000,-,0.600000,Tone,71.9,71.9,FM,12.5,Siemianowice Śląskie
484,SR9EE,438.875000,-,7.600000,Tone,67.0,88.5,FM,12.5,Skrzyczne EMITEL
485,SR9EHO,29.610000,+,0.000000,Tone,107.2,107.2,FM,12.5,Mordarka - Łysa Góra (k. Limanowej)
486,SR9FUN,29.660000,-,0.100000,Tone,107.2,107.2,FM,12.5,Szczawnica - Góra Przehyba (Teren schroniska)
487,SR9GC,438.925000,-,7.600000,,88.5,88.5,FM,12.5,Gliwice
488,SR9GP,438.650000,-,7.600000,Tone,107.2,107.2,FM,12.5,Mordarka - Łysa góra
489,SR9GR,438.537500,-,7.600000,Tone,162.2,162.2,FM,12.5,Gorlice, maszt Emitel na Górze Cmentarnej
490,SR9IVG,70.260000,+,0.000000,,88.5,107.2,FM,12.5,Mordarka - Łysa Góra (k. Limanowej)
491,SR9J,145.787500,-,0.600000,Tone,123.0,123.0,FM,12.5,Częstochowa
492,SR9JG,439.462500,-,7.600000,Tone,71.9,71.9,FM,12.5,Częstochowa
493,SR9JK,438.800000,-,7.600000,Tone,94.8,88.5,FM,12.5,Włodowice
495,SR9K,145.750000,-,0.600000,Tone,103.5,88.5,FM,12.5,Siercza k/Wieliczki
496,SR9KAO,439.212500,-,7.600000,,88.5,88.5,FM,12.5,Tarnów
497,SR9KD,438.950000,-,7.600000,Tone,71.9,88.5,FM,12.5,Sosnowiec
498,SR9KM,438.975000,-,7.600000,Tone,71.9,71.9,FM,12.5,Krupski Młyn
499,SR9KR,439.275000,-,7.600000,,88.5,88.5,DV,12.5,Kraków
500,SR9KS,438.900000,-,7.600000,Tone,103.5,103.5,FM,12.5,Siercza k/Wieliczki
501,SR9KW,439.025000,-,7.600000,Tone,67.0,67.0,FM,12.5,Pogrzebień
502,SR9L,145.687500,-,0.600000,Tone,107.2,107.2,FM,12.5,Limanowa Lipowe
503,SR9LC,438.700000,-,7.600000,Tone,71.9,71.9,FM,12.5,LUBECKO
504,SR9LI,438.675000,-,7.600000,,88.5,88.5,FM,12.5,Pasierbiec
505,SR9LK,1298.500000,-,28.000000,,88.5,88.5,FM,12.5,Siercza k/Wieliczki
506,SR9NJ,1298.150000,-,28.000000,,88.5,88.5,FM,12.5,Krynica Zdrój, Jaworzyna (górna stacja kolejki gondolowej
507,SR9NJ,438.700000,-,7.600000,Tone,103.5,103.5,FM,12.5,Krynica Zdrój, Jaworzyna (górna stacja kolejki gondolowej
508,SR9NP,438.937500,-,7.600000,Tone,107.2,107.2,FM,12.5,Prehyba
509,SR9NS,439.225000,-,7.600000,Tone,107.2,107.2,FM,12.5,Nowy Sącz
511,SR9NSK,434.675000,+,0.000000,,88.5,88.5,FM,12.5,Skrzyczne
512,SR9OA,438.750000,-,7.600000,Tone,107.2,88.5,FM,12.5,Wieża widokowa Dąbrowa
513,SR9P,145.662500,-,0.600000,Tone,103.5,88.5,FM,12.5,Góra Koskowa POLKOMTEL
514,SR9PC,438.850000,-,7.600000,Tone,103.5,88.5,FM,12.5,Góra Koskowa POLKOMTEL
515,SR9PJD,431.800000,+,7.600000,,88.5,88.5,FM,12.5,Gliwice
517,SR9PS,439.250000,-,7.600000,Tone,67.0,67.0,FM,12.5,Pszów
518,SR9RAC,439.575000,-,7.600000,Tone,67.0,67.0,FM,12.5,Strzybniczek
520,SR9RR,439.100000,-,7.600000,Tone,107.2,107.2,FM,12.5,
522,SR9RT,145.637500,split,145.037500,Tone,103.5,103.5,FM,12.5,Mordarka - Łysa Góra 781 m n.p.m. (k. Limanowej)
523,SR9S,145.775000,-,0.600000,Tone,67.0,67.0,FM,12.5,Wola
524,SR9S,439.412500,-,7.600000,Tone,67.0,67.0,FM,12.5,Wola
525,SR9SA,439.450000,-,7.600000,Tone,67.0,67.0,FM,12.5,Góra Szyndzielnia, Bielsko-Biała
526,SR9SC,438.962500,-,7.600000,Tone,67.0,67.0,FM,12.5,Cieszyn
527,SR9SE,439.200000,-,7.600000,Tone,71.9,88.5,FM,12.5,Będzin
529,SR9SK,439.375000,-,7.600000,Tone,67.0,67.0,FM,12.5,Skrzyczne
530,SR9SS,439.100000,-,7.600000,Tone,71.9,71.9,FM,12.5,Siemianowice Śląskie
532,SR9TB,438.775000,-,7.600000,Tone,103.5,103.5,FM,12.5,Góra Wał - Tarnów
533,SR9TG,145.612500,-,0.600000,Tone,71.9,71.9,FM,12.5,Tarnowskie Góry
534,SR9TM,438.512500,-,7.600000,Tone,103.5,103.5,FM,12.5,Pcim - Kudłacze
540,SR9UV,439.337500,-,7.600000,,88.5,88.5,DV,12.5,Włodowice
542,SR9UVJ,439.500000,-,7.600000,,88.5,88.5,DV,12.5,Jaworzyna Krynicka
543,SR9UVJ,439.500000,-,7.600000,,88.5,88.5,DV,12.5,Jaworzyna krynicka
544,SR9UVJ-B,439.500000,-,7.600000,,88.5,88.5,DV,12.5,Krynica Zdrój - Jaworzyna (górna stacja kolejki gondolowej)
545,SR9UVJ-C,145.787500,-,0.600000,,88.5,88.5,DV,12.5,Krynica Zdrój - Jaworzyna (górna stacja kolejki gondolowej)
549,SR9UVP,439.362500,-,7.600000,,88.5,88.5,DV,12.5,Góra Koskowa POLKOMTEL
552,SR9UVU,439.162500,-,7.600000,,88.5,88.5,DV,12.5,Skrzyczne
553,SR9UVZ,439.200000,-,7.600000,,88.5,88.5,DV,12.5,Góra Gubałówka EMITEL
557,SR9VJP,438.587500,-,7.600000,,88.5,88.5,DV,12.5,MUSZYNA
558,SR9VO,439.075000,-,7.600000,Tone,103.5,103.5,FM,12.5,Tarnów
560,SR9VVO,439.437500,-,7.600000,,88.5,88.5,DV,12.5,Lichwin
561,SR9X,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Góra Gubałówka EMITEL
562,SR9Z,145.737500,-,0.600000,Tone,107.2,107.2,FM,12.5,Przehyba EMITEL
564,SR9ZAR,439.537500,-,7.600000,Tone,67.0,67.0,FM,12.5,Góra Żar
565,SR9ZHP,145.287500,+,0.000000,Tone,127.3,127.3,FM,12.5,Będzin
567,DB0AER,439.400000,-,7.600000,,88.5,88.5,FM,12.5,Auerbach / Erzgebirge
568,DB0AF,145.612500,-,0.600000,Tone,123.0,88.5,FM,12.5,Altbödern
569,DB0ANA,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Pöhlberg,  Annaberg
570,DB0ARB,439.225000,-,7.600000,Tone,71.9,71.9,FM,12.5,Großer Arber
571,DB0ARB,145.675000,-,0.600000,Tone,71.9,88.5,FM,12.5,Großer Arber
572,DB0AV,439.100000,-,7.600000,,88.5,88.5,FM,12.5,Rosenheim
573,DB0BEL,439.175000,-,7.600000,,88.5,88.5,FM,12.5,Belzig
574,DB0BKN,439.250000,-,7.600000,,88.5,88.5,FM,12.5,
575,DB0BLO,439.275000,-,7.600000,,88.5,88.5,FM,12.5,Berlin-Ost
576,DB0BRH,439.312500,-,7.600000,,88.5,88.5,FM,12.5,Heidelstein
577,DB0BRL,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Berlin-Hohenschönhausen
578,DB0CAL,438.975000,-,7.600000,,88.5,88.5,FM,12.5,Calau
579,DB0CBS,438.850000,-,7.600000,,88.5,88.5,FM,12.5,Cottbus
580,DB0CHA,1298.375000,-,28.000000,,88.5,88.5,FM,12.5,Eschlmais
581,DB0CHA,438.925000,-,7.600000,Tone,71.9,71.9,FM,12.5,Eschlmais
582,DB0CSD,438.700000,-,7.000000,,88.5,88.5,FM,12.5,Chemnitz
583,DB0DD,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Dresden-Hellerau
585,DB0DO,145.737500,-,0.600000,Tone,67.0,67.0,FM,12.5,Dortmund
586,DB0DS,439.487500,-,7.600000,,88.5,88.5,FM,12.5,Dortmund
587,DB0DVR,145.637500,-,0.600000,,88.5,88.5,FM,12.5,Steinbergstrasse, Braunschweig
588,DB0DVR,438.575000,-,7.600000,,88.5,88.5,FM,12.5,Wendenstraße, Braunschweig
589,DB0EG,438.675000,-,7.600000,,88.5,88.5,FM,12.5,Schoeppingen
592,DB0EHS,430.375000,+,0.000000,,88.5,88.5,DV,12.5,Eisenhüttenstadt
593,DB0EL,439.275000,-,7.600000,,88.5,88.5,FM,12.5,
594,DB0ERZ,439.112500,-,7.600000,,88.5,88.5,FM,12.5,Auersberg
595,DB0FFO,438.650000,-,7.600000,Tone,67.0,67.0,FM,12.5,Eisenhuettenstadt
596,DB0FOD,439.000000,-,7.600000,,88.5,88.5,FM,12.5,Frankfurt n/Oder
597,DB0FRO,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Frankfurt n/Oder
598,DB0FUL,438.687500,-,7.600000,,88.5,88.5,FM,12.5,Fulda
599,DB0GRZ,145.600000,-,0.600000,,88.5,67.0,FM,12.5,Goerlitz
600,DB0GRZ,439.400000,-,7.600000,,88.5,67.0,FM,12.5,Goerlitz
601,DB0GRZ-2M,145.600000,-,0.600000,,88.5,88.5,FM,12.5,Goerlitz
602,DB0HEL,439.075000,-,7.600000,,88.5,88.5,FM,12.5,Helgoland
603,DB0HHN,438.375000,-,7.600000,Tone,67.0,67.0,FM,12.5,Goetzberg
604,DB0HHO-C,145.612500,-,0.600000,,88.5,88.5,DV,12.5,Großhansdorf
605,DB0HRM,145.650000,-,0.600000,,88.5,88.5,FM,12.5,Hoher Meissner, HR-Turm
606,DB0HRM,439.525000,-,7.600000,,88.5,88.5,DV,12.5,Hoher Meissner, HR-Turm
607,DB0HZL,439.400000,-,7.600000,,88.5,88.5,FM,12.5,Ratzeburg
608,DB0IF,439.025000,-,7.600000,,88.5,88.5,FM,12.5,Fehmarn / Puttgarden
609,DB0LAU,439.100000,-,7.600000,Tone,123.0,123.0,FM,12.5,Lausche/Waltersdorf
610,DB0LBH,438.925000,-,7.600000,,88.5,88.5,FM,12.5,Deditz, 04685 Nerchau, Niemcy
611,DB0LEI,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Völkerschlachtdenkmal Leipzig
612,DB0LOE,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Kottmar / Lobau
613,DB0LOS,438.775000,-,7.600000,,88.5,88.5,FM,12.5,Rauener Berge
614,DB0LS,439.375000,-,7.600000,Tone,123.0,88.5,FM,12.5,Oberdorf von Lauchhammer OT Kostebrau Oberdorf von Lauchhammer OT Kostebrau
615,DB0LUC,438.975000,-,7.600000,,88.5,88.5,FM,12.5,Gehren
616,DB0LUD,438.575000,-,7.600000,,88.5,88.5,FM,12.5,Ludwigsfelde
617,DB0MAR,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Timmendorfer Strand
618,DB0MAR-B,439.850000,-,9.400000,,88.5,88.5,DV,12.5,Timmendorfer Strand
619,DB0MDW-C,144.937500,+,0.000000,,88.5,88.5,DV,12.5,Meddewade
620,DB0NFL,438.950000,-,7.600000,,88.5,88.5,FM,12.5,Forst (Lausitz)
621,DB0NLS,145.737500,-,0.600000,Tone,88.5,88.5,FM,12.5,Lauta, Sachsen
622,DB0OAL,438.937500,-,7.600000,,88.5,88.5,FM,12.5,Tegelberg
624,DB0PBS,439.312500,-,7.600000,Tone,136.5,88.5,FM,12.5,
625,DB0PC,439.100000,-,7.600000,,88.5,88.5,FM,12.5,Bungsberg
626,DB0PCK,145.650000,-,0.600000,,88.5,88.5,FM,12.5,Schwedt/Oder
627,DB0PDM-2M,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Potsdam, Germany
628,DB0PIB-2M,145.575000,-,0.600000,,88.5,88.5,FM,12.5,Großer Picho bei Wilthen
630,DB0QG,438.975000,-,7.600000,,88.5,88.5,FM,12.5,Altenschneeberg
631,DB0RAG,439.300000,-,7.600000,,88.5,88.5,FM,12.5,Ragow
632,DB0RIG,145.175000,+,0.600000,,88.5,88.5,FM,12.5,Göppingen
633,DB0RIG,439.050000,-,7.600000,,88.5,88.5,FM,12.5,Göppingen
634,DB0RKS,431.900000,+,7.600000,Tone,250.3,250.3,FM,12.5,
635,DB0RUG,145.600000,-,0.600000,,88.5,88.5,FM,12.5,Bergen auf Rügem
637,DB0SL,145.700000,-,0.600000,Tone,71.9,71.9,FM,12.5,Greising
638,DB0SL,439.050000,-,7.600000,,88.5,71.9,FM,12.5,
639,DB0SMB,438.975000,-,7.600000,Tone,100.0,100.0,FM,12.5,Salzgitter Watenstedt
640,DB0SP,145.600000,-,0.600000,,88.5,141.3,FM,12.5,Berlin-Wannsee, Fernmeldeturm Schäferberg
641,DB0SP,439.425000,-,7.600000,,88.5,141.3,FM,12.5,Berlin-Wannsee, Fernmeldeturm Schäferberg
642,DB0SPB,439.300000,-,7.600000,Tone,123.0,123.0,FM,12.5,Spitzbergstraße 6, 02791 Oderwitz, Deutschland
644,DB0SX,439.050000,-,7.600000,,88.5,88.5,FM,12.5,Berlin-Charlottenburg
645,DB0SY,438.625000,-,7.600000,,88.5,74.4,FM,12.5,Hamburg-Lohbrügge
646,DB0TFL,438.800000,-,7.600000,,88.5,88.5,FM,12.5,Baruth/Mark
647,DB0TK,145.750000,-,0.600000,,88.5,100.0,FM,12.5,Regensburg - Keilberg
648,DB0TR,438.700000,-,7.600000,,88.5,88.5,FM,12.5,
649,DB0TRS,439.125000,-,7.600000,,88.5,88.5,FM,12.5,
650,DB0TT,438.650000,-,7.600000,Tone,67.0,67.0,FM,12.5,Dortmund
652,DB0TUD,438.875000,-,7.600000,,88.5,88.5,FM,12.5,Dresden - (Technische Universität)
653,DB0UA,438.675000,-,7.600000,,88.5,88.5,FM,12.5,Augsburg
654,DB0UA,145.637500,-,0.600000,Tone,88.5,88.5,FM,12.5,Augsburg
655,DB0UE,145.637500,-,0.600000,,88.5,88.5,FM,12.5,Fulda
656,DB0UG,439.025000,-,7.600000,Tone,67.0,88.5,FM,12.5,Paderborn-Eggegebirge
657,DB0UM,439.237500,-,7.600000,,88.5,88.5,FM,12.5,Casekow
658,DB0WA,145.787500,split,145.187500,Tone,94.8,94.8,FM,12.5,Aachen
659,DB0WAS,438.950000,-,7.600000,,88.5,88.5,FM,12.5,Wasserkuppe / Hessen
660,DB0WBE,438.900000,-,7.600000,,88.5,88.5,FM,12.5,Elsterwerda, Niemcy
661,DB0WBG,439.200000,-,7.600000,,88.5,88.5,FM,12.5,Wittenberg
662,DB0WIT,145.737500,-,0.600000,,88.5,88.5,FM,12.5,Wittstock-Pritzwalk
663,DB0WK,439.462500,-,7.600000,,88.5,88.5,DV,12.5,Wasserkuppe / Hessen
665,DB0WM,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Münster
666,DB0WOF,439.075000,-,7.600000,,88.5,88.5,FM,12.5,Wolfen
667,DB0WOL,439.150000,-,7.600000,,88.5,88.5,FM,12.5,Wollenberg
668,DB0XH,145.662500,-,0.600000,,88.5,88.5,FM,12.5,Hamburg-Blankenese
669,DB0XJ,438.800000,-,7.600000,,88.5,88.5,FM,12.5,Stade
670,DB0XK,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Kalmit
671,DB0XL,438.900000,-,7.600000,,88.5,88.5,FM,12.5,Lübeck
672,DB0YC,145.637500,-,0.600000,Tone,71.9,71.9,FM,12.5,Kreuzhaus
673,DB0ZD,439.000000,-,7.600000,,88.5,88.5,FM,12.5,Mittagberg
674,DB0ZH,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Heidelberg
675,DB0ZO,145.762500,-,0.600000,Tone,123.0,123.0,FM,12.5,Dörenberg
676,DB0ZU,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Zugspitze
677,DB0ZU,438.850000,-,7.600000,,88.5,88.5,FM,12.5,Zugspitze
678,DB0ZU,1298.600000,-,28.000000,,88.5,88.5,FM,12.5,Zugspitze
679,DF0HHH,438.700000,-,7.600000,,88.5,67.0,FM,12.5,Hamburg Rosengarten
681,DM0BGH,438.625000,-,7.600000,,88.5,88.5,FM,12.5,
683,DM0LUE B,439.550000,-,7.600000,,88.5,88.5,DV,12.5,Lüdersdorf
684,DM0ULR,145.787500,-,0.600000,Tone,141.3,141.3,FM,12.5,Wendelstein
685,DO0ERK,145.762500,-,0.600000,,88.5,88.5,DV,12.5,Erkrath
686,DO0GG,438.850000,-,7.600000,,88.5,88.5,FM,12.5,
687,DO0LEE,438.212500,-,7.600000,Tone,67.0,88.5,FM,12.5,Riedstadt
688,DO0SMZ,439.300000,-,7.600000,Tone,67.0,88.5,FM,12.5,Mainz - ZDF Television Center
689,ED8ZAB,438.462500,-,7.580000,,88.5,88.5,DV,12.5,Cumbre Gran Canaria
690,EI2KPR,145.762500,-,0.600000,Tone,88.5,88.5,FM,12.5,Dublin
691,EI2TRR,145.600000,-,0.600000,Tone,88.5,88.5,FM,12.5,Dublin
692,EI7BHR,438.600000,-,7.600000,Tone,88.5,88.5,FM,12.5,Dublin
693,EI7TRR,433.225000,+,1.600000,Tone,88.5,88.5,FM,12.5,Dublin
694,EU1,145.625000,-,0.600000,Tone,88.5,88.5,FM,12.5,Minsk
695,EU1,438.125000,+,0.000000,,88.5,88.5,FM,12.5,Mińsk
696,EU1A00R,438.725000,-,7.500000,,88.5,88.5,FM,12.5,Mińsk
697,EU1A01R,438.825000,-,7.600000,,88.5,88.5,FM,12.5,Minsk
698,EU1XX,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Brest
699,EU1XXXX,438.700000,-,7.600000,,88.5,67.0,FM,12.5,Bobrujsk
700,EU2XX,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Novopolock
702,EU4BLC-R,439.425000,-,7.600000,Tone,67.0,67.0,FM,12.5,KO13VQ
703,EU4XX,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Bobrujsk
704,EU4XXX,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Osipovichi
705,EU5XX,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Soligorsk
706,EU8A00R,434.600000,-,1.600000,Tone,162.2,162.2,FM,12.5,Gomel
707,EV4UHF,439.425000,-,7.600000,Tone,67.0,67.0,FM,12.5,Grodno
708,EV4VHF,145.775000,-,0.600000,,88.5,67.0,FM,12.5,Grodno
709,EW7DDG,430.900000,+,7.600000,,88.5,88.5,FM,12.5,Могилёв
710,F5ZFF,145.637500,-,0.600000,,88.5,88.5,FM,12.5,Mont Saint Aignan
711,F5ZSS,145.675000,-,0.600000,,88.5,88.5,FM,12.5,BARBAZAN-DEBAT
712,F5ZTU,431.725000,split,430.125000,,88.5,88.5,FM,12.5,LOURDES -65
713,F5ZUL,145.775000,-,0.600000,,88.5,88.5,FM,12.5,LABENNE
714,F5ZUW,431.925000,-,1.600000,,88.5,88.5,FM,12.5,La Pierre St Martin - 64
715,F6ZCV,145.700000,-,0.600000,,88.5,88.5,FM,12.5,LA PIERRE SAINT-MARTIN  -  64
716,GB3AA,145.662500,-,0.600000,,88.5,88.5,FM,12.5,
717,GB3AB,433.375000,+,1.600000,,88.5,88.5,FM,12.5,
718,GB3AC,430.975000,+,7.600000,,88.5,88.5,FM,12.5,
719,GB3AD,439.687500,-,9.000000,,88.5,88.5,DV,12.5,
720,GB3AE,50.720000,+,0.500000,,88.5,88.5,FM,12.5,
721,GB3AG,145.725000,-,0.600000,,88.5,88.5,FM,12.5,FORFAR
722,GB3AH,433.275000,+,1.600000,,88.5,88.5,FM,12.5,EAST DEREHAM
723,GB3AK,1297.350000,-,20.000000,,88.5,88.5,FM,12.5,BRISTOL
724,GB3AL,145.737500,-,0.600000,,88.5,88.5,FM,12.5,AMERSHAM
