Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,SR9FMJ,438.400000,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,DV,5.00,,50W,Jaworzyna krynicka,,,,
1,SR2PP,145.700000,-,0.600000,Tone,74.4,74.4,023,NN,023,Tone->Tone,FM,5.00,,50W,PIECHCIN,,,,
2,SR2GG-E,439.562500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,,,,,
3,SR2GG-D,439.900000,-,9.400000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,,,,,
4,SR2GG-C,439.337500,-,7.600000,Tone,74.4,74.4,023,NN,023,Tone->Tone,FM,5.00,,50W,SZUBIN,,,,
5,SR2GG-B,439.137500,-,7.600000,Tone,74.4,74.4,023,NN,023,Tone->Tone,FM,5.00,,50W,SZUBIN,,,,
6,SR2GG,145.750000,-,0.600000,Tone,74.4,74.4,023,NN,023,Tone->Tone,FM,5.00,,50W,SZUBIN,,,,
7,SR6PCB,145.575000,+,4.400000,,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Brzeg,,,,
8,SR9PSD,439.312500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Pszow,,,,
9,SR5UZQ,438.862500,-,7.636000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Krze Duze,,,,
10,SR2I,438.662500,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Inowroclaw,,,,
11,SR7WU,439.550000,-,7.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Wieruszow,,,,
12,SR7LK,1270.700000,+,28.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,GORA KAMIENSK,,,,
13,SR6LWB,1298.600000,-,28.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Walbrzych,,,,
14,SR1P,145.725000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Kopnica,,,,
15,SR3SR,439.100000,-,8.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,Sulecinek,,,,
16,SR4BF,438.800000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,,,,,
17,SR1GL,145.280000,,0.000000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Goleniow,,,,
18,SR5WRX,1287.575000,-,17.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Warszawa,,,,
19,SR6F,145.750000,-,0.600000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,Biskupia Kopa,,,,
20,SR8GDM,439.375000,-,7.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Garbow,,,,
21,SR6DKL,431.875000,+,7.600000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,Klodzko,,,,
22,SR8RW,433.537500,,0.000000,,88.5,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Radomysl Wielki,,,,
23,SR8NA,438.825000,-,7.600000,Tone,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,50W,Dubiecko,,,,
24,SR1TSZ,430.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Szczecin,,,,
25,SR2CDE,439.187500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Gdansk,,,,
26,SR1ZS,439.000000,-,7.600000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Szczecin,,,,
27,SR9RU,439.350000,-,7.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
28,SR9RS,439.325000,-,7.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
29,SR9RP,439.250000,-,7.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,Wysokie,,,,
30,SR2DV,439.187500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,GDANSK,,,,
31,SR0GOL,439.137500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
32,SR1BAR,439.550000,-,7.600000,,88.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Barlinek,,,,
33,SR2KW,145.337500,+,285.687500,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Wloclawek,,,,
34,SR9GOL,145.650000,+,289.100000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
35,SR6T,438.550000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Bolkow,,,,
36,SR6SO,439.412500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Strzelce Opolskie,,,,
37,SR8ALA,439.475000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Domaradz,,,,
38,SR9BB,438.537500,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Platforma widokowa na Skrzycznem,,,,
39,SR8GA,145.725000,-,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Garbow,,,,
40,SR9NKU,438.362500,-,7.600000,Tone,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,50W,Dabrowa Gornicza,,,,
41,SR8RZE,439.287500,-,7.600000,Tone,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,50W,Rzeszow,,,,
42,SR2GRU,145.687500,-,0.600000,,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,Grudziadz,,,,
43,SR9OKO,438.800000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Strzybnik,,,,
44,SR9SR,438.487500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Rybnik,,,,
45,SR9BB,438.537500,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Schroniska PTTK Szyndzielnia,,,,
46,SR4T,145.762500,-,0.600000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,Turcz,,,,
47,SR3DKA,438.400000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Kalisz,,,,
