Callsign,Modes,TX Frequency,TX CTCSS,RX Frequency,RX CTCSS,RX 1750,Duplex,Offset,Status,Latitude,Longitude,QTH,Locator
SR2T,"fm, fmpoland",145.775,false,145.175,false,false,-,0.6,working,53.025586,18.688461,Torun,JO93IA
SR2SWR,"fm, fmpoland",438.775,88.5,431.175,88.5,false,-,7.6,working,53.017158,18.601855,Torun,JO93HA
SR2SL,"fm, echolink",438.75,false,431.15,false,false,-,7.6,working,54.462977,16.986933,Slupsk,JO84LL
SR2RR,fm,438.6625,false,431.0625,67,false,-,7.6,off,52.803414,18.271496,Inowroclaw,JO92DT
SR2PB,"fm, echolink, fmpoland",145.7375,88.5,145.1375,88.5,false,-,0.6,working,53.242992,19.394201,Brodnica,JO93QF
SR2PA,"fm, echolink, minilink",439.3,94.8,431.7,94.8,false,-,7.6,working,54.065486,19.659217,Paslek,JO94TB
SR2OX,tetra,439.475,false,431.875,false,false,-,7.6,testing,54.550543,18.537683,Gdynia,JO94GN
SR2OK,c4fm,438.875,false,431.275,false,false,-,7.6,working,54.545013,18.535907,Gdynia-Oksywie EMITEL,JO94GN
SR2MAL,c4fm,439.0625,false,431.4625,false,false,-,7.6,working,54.039803,19.033037,Malbork,JO94MA
SR2KY,fm,439.25,88.5,431.65,false,false,-,7.6,working,53.71013,18.955103,Kwidzyn,JO93LR
SR2KU,"fm, echolink",439.425,94.8,431.825,94.8,false,-,7.6,working,54.209874,18.111871,Wiezyca,JO94BF
SR2K,fm,145.7125,88.5,145.1125,88.5,false,-,0.6,working,53.042635,18.62559,Torun,JO93HB
SR2JJ,fm,439.1625,74.4,431.5625,74.4,false,-,7.6,working,52.919733,17.836519,Szubin - Jablowo Paluckie / wieza p.poz,JO82WW
SR2J,fm,145.5875,74.4,144.9875,74.4,false,-,0.6,working,52.919733,17.836519,Szubin - Jablowo Paluckie / wieza p.poz,JO82WW
SR2IN,"dmr, c4fm",438.2375,false,430.6375,false,false,-,7.6,working,52.79399975,18.26081563,Inowroclaw,JO92DT
SR2GT,"fm, fmlink",439.025,94.8,431.425,94.8,false,-,7.6,working,54.452753,18.435949,Chwaszczyno EMITEL,JO94FK
SR2GS,fm,438.55,94.8,430.95,94.8,false,-,7.6,working,54.452753,18.435949,Chwaszczyno,JO94FK
SR2GR,"fm, echolink, fmpoland",439.2,false,431.6,94.8,false,-,7.6,working,53.48156,18.75563,Grudziadz,JO93JL
SR2GN,fm,439.325,94.8,431.725,94.8,false,-,7.6,working,54.718116,18.052215,Gniewino - Wieza widokowa,JO94AR
SR2GDD,dmr,438.2875,false,430.6875,false,false,-,7.6,working,54.354307,18.718538,Gdansk,JO94II
SR2GDA,"fm, echolink, minilink",439.35,94.8,431.75,94.8,false,-,7.6,working,53.7469812,18.6755997,Smetowo Graniczne,JO93IR
SR2GD-C,"fm, echolink, minilink",439.0875,94.8,431.4875,94.8,false,-,7.6,working,54.34704,18.665793,Gdansk,JO94HI
SR2GD,c4fm,439.0625,false,431.4625,false,false,-,7.6,off,54.34704,18.665793,Gdansk,JO94HI
SR2GD,fm,439.075,94.8,431.475,94.8,false,-,7.6,working,54.34704,18.665793,Gdansk,JO94HI
SR2GA,"fm, minilink",438.975,94.8,431.375,94.8,false,-,7.6,working,54.777673,18.413129,Wladyslawowo,JO94ES
SR2G,c4fm,145.7,false,145.1,false,false,-,0.6,working,54.34704,18.665793,Gdansk,JO94HI
SR2FM,"fm, fmlink",439.5375,74.4,431.9375,74.4,false,-,7.6,working,52.919733,17.836519,Szubin - Jablowo Paluckie / wieza p.poz,JO82WW
SR2EL,"fm, echolink, minilink",439.55,94.8,431.95,94.8,false,-,7.6,working,54.138022,19.456066,Elblag,JO94RD
SR2DMR-C,c4fm,439.5625,false,431.9625,false,false,-,7.6,inprogress,52.919733,17.836519,Szubin - Jablowo Paluckie / wieza p.poz,JO82WW
